{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0, 'c2': 0}              precision    recall  f1-score   support
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9982    0.9985     43414

   micro avg     0.9937    0.9937    0.9937     44271
   macro avg     0.5256    0.5193    0.5182     44271
weighted avg     0.9935    0.9937    0.9935     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c1': 0.1, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7251    0.8583    0.7861       381
         org     0.4227    0.3796    0.4000       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.8793    0.8328    0.8554       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9982    0.9985     43414

   micro avg     0.9937    0.9937    0.9937     44271
   macro avg     0.5043    0.5115    0.5067     44271
weighted avg     0.9934    0.9937    0.9935     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0, 'c2': 0}              precision    recall  f1-score   support

         per     0.7118    0.7585    0.7344       381
         org     0.3178    0.3796    0.3460       108
        misc     0.0606    0.0741    0.0667        27
         loc     0.8354    0.8035    0.8191       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9985    0.9976    0.9980     43414

   micro avg     0.9919    0.9919    0.9919     44271
   macro avg     0.4873    0.5022    0.4940     44271
weighted avg     0.9925    0.9919    0.9922     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7216    0.8163    0.7660       381
         org     0.3388    0.3796    0.3581       108
        misc     0.0500    0.0370    0.0426        27
         loc     0.8711    0.8123    0.8407       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9978    0.9982     43414

   micro avg     0.9927    0.9927    0.9927     44271
   macro avg     0.4967    0.5072    0.5009     44271
weighted avg     0.9930    0.9927    0.9928     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7258    0.8478    0.7821       381
         org     0.4020    0.3796    0.3905       108
        misc     0.0667    0.0370    0.0476        27
         loc     0.8833    0.8211    0.8511       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9981    0.9983     43414

   micro avg     0.9933    0.9933    0.9933     44271
   macro avg     0.5127    0.5139    0.5116     44271
weighted avg     0.9933    0.9933    0.9933     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7232    0.8504    0.7817       381
         org     0.3900    0.3611    0.3750       108
        misc     0.0833    0.0370    0.0513        27
         loc     0.8864    0.8240    0.8541       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9982    0.9984     43414

   micro avg     0.9934    0.9934    0.9934     44271
   macro avg     0.5136    0.5118    0.5101     44271
weighted avg     0.9934    0.9934    0.9933     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0.01, 'c2': 0}              precision    recall  f1-score   support

         per     0.6998    0.7585    0.7280       381
         org     0.3689    0.4167    0.3913       108
        misc     0.0741    0.0741    0.0741        27
         loc     0.8348    0.8299    0.8324       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9985    0.9975    0.9980     43414

   micro avg     0.9921    0.9921    0.9921     44271
   macro avg     0.4960    0.5128    0.5039     44271
weighted avg     0.9925    0.9921    0.9923     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0.01, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7206    0.8189    0.7666       381
         org     0.3419    0.3704    0.3556       108
        misc     0.0500    0.0370    0.0426        27
         loc     0.8683    0.8123    0.8394       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9979    0.9982     43414

   micro avg     0.9928    0.9928    0.9928     44271
   macro avg     0.4966    0.5061    0.5004     44271
weighted avg     0.9930    0.9928    0.9929     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0.01, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7308    0.8478    0.7849       381
         org     0.4100    0.3796    0.3942       108
        misc     0.0667    0.0370    0.0476        27
         loc     0.8754    0.8240    0.8489       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9981    0.9984     43414

   micro avg     0.9934    0.9934    0.9934     44271
   macro avg     0.5136    0.5144    0.5124     44271
weighted avg     0.9934    0.9934    0.9933     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0.01, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7265    0.8504    0.7836       381
         org     0.3980    0.3611    0.3786       108
        misc     0.0833    0.0370    0.0513        27
         loc     0.8809    0.8240    0.8515       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9982    0.9984     43414

   micro avg     0.9934    0.9934    0.9934     44271
   macro avg     0.5145    0.5118    0.5106     44271
weighted avg     0.9933    0.9934    0.9933     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0.05, 'c2': 0}              precision    recall  f1-score   support

         per     0.7123    0.8189    0.7619       381
         org     0.3694    0.3796    0.3744       108
        misc     0.0500    0.0370    0.0426        27
         loc     0.8708    0.8299    0.8498       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9977    0.9982     43414

   micro avg     0.9928    0.9928    0.9928     44271
   macro avg     0.5002    0.5105    0.5045     44271
weighted avg     0.9930    0.9928    0.9929     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0.05, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7303    0.8530    0.7869       381
         org     0.3942    0.3796    0.3868       108
        misc     0.0714    0.0370    0.0488        27
         loc     0.8723    0.8211    0.8459       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9980    0.9984     43414

   micro avg     0.9933    0.9933    0.9933     44271
   macro avg     0.5112    0.5148    0.5111     44271
weighted avg     0.9933    0.9933    0.9933     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0.05, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7299    0.8583    0.7889       381
         org     0.4082    0.3704    0.3883       108
        misc     0.0909    0.0370    0.0526        27
         loc     0.8785    0.8270    0.8520       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9982    0.9984     43414

   micro avg     0.9935    0.9935    0.9935     44271
   macro avg     0.5177    0.5151    0.5134     44271
weighted avg     0.9934    0.9935    0.9934     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0.05, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7248    0.8504    0.7826       381
         org     0.4227    0.3796    0.4000       108
        misc     0.1429    0.0370    0.0588        27
         loc     0.8762    0.8299    0.8524       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9982    0.9984     43414

   micro avg     0.9936    0.9936    0.9936     44271
   macro avg     0.5275    0.5159    0.5154     44271
weighted avg     0.9934    0.9936    0.9934     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0.1, 'c2': 0}              precision    recall  f1-score   support

         per     0.7252    0.8451    0.7806       381
         org     0.4000    0.3889    0.3944       108
        misc     0.0714    0.0370    0.0488        27
         loc     0.8731    0.8270    0.8494       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9980    0.9984     43414

   micro avg     0.9933    0.9933    0.9933     44271
   macro avg     0.5114    0.5160    0.5119     44271
weighted avg     0.9933    0.9933    0.9933     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0.1, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7336    0.8530    0.7888       381
         org     0.4057    0.3981    0.4019       108
        misc     0.0714    0.0370    0.0488        27
         loc     0.8864    0.8240    0.8541       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9982    0.9984     43414

   micro avg     0.9935    0.9935    0.9935     44271
   macro avg     0.5160    0.5184    0.5153     44271
weighted avg     0.9936    0.9935    0.9935     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0.1, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7321    0.8609    0.7913       381
         org     0.4242    0.3889    0.4058       108
        misc     0.1111    0.0370    0.0556        27
         loc     0.8836    0.8240    0.8528       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9982    0.9984     43414

   micro avg     0.9937    0.9937    0.9937     44271
   macro avg     0.5250    0.5182    0.5173     44271
weighted avg     0.9935    0.9937    0.9935     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': True, 'all_transition': False, 'c1': 0.1, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7261    0.8556    0.7855       381
         org     0.4227    0.3796    0.4000       108
        misc     0.1667    0.0370    0.0606        27
         loc     0.8793    0.8328    0.8554       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9982    0.9985     43414

   micro avg     0.9937    0.9937    0.9937     44271
   macro avg     0.5322    0.5172    0.5167     44271
weighted avg     0.9935    0.9937    0.9935     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0, 'c2': 0}              precision    recall  f1-score   support

         per     0.7119    0.7717    0.7406       381
         org     0.3030    0.3704    0.3333       108
        misc     0.0714    0.0741    0.0727        27
         loc     0.8478    0.8006    0.8235       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9984    0.9975    0.9979     43414

   micro avg     0.9920    0.9920    0.9920     44271
   macro avg     0.4888    0.5024    0.4947     44271
weighted avg     0.9925    0.9920    0.9922     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7262    0.8215    0.7709       381
         org     0.3362    0.3611    0.3482       108
        misc     0.0500    0.0370    0.0426        27
         loc     0.8694    0.8006    0.8336       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9985    0.9980    0.9983     43414

   micro avg     0.9928    0.9928    0.9928     44271
   macro avg     0.4967    0.5030    0.4989     44271
weighted avg     0.9930    0.9928    0.9929     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7184    0.8504    0.7788       381
         org     0.4020    0.3796    0.3905       108
        misc     0.0833    0.0370    0.0513        27
         loc     0.8762    0.8094    0.8415       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9981    0.9984     43414

   micro avg     0.9933    0.9933    0.9933     44271
   macro avg     0.5131    0.5124    0.5101     44271
weighted avg     0.9933    0.9933    0.9932     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7254    0.8530    0.7841       381
         org     0.4158    0.3889    0.4019       108
        misc     0.1429    0.0370    0.0588        27
         loc     0.8711    0.8123    0.8407       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9982    0.9984     43414

   micro avg     0.9934    0.9934    0.9934     44271
   macro avg     0.5256    0.5149    0.5140     44271
weighted avg     0.9933    0.9934    0.9933     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0.01, 'c2': 0}              precision    recall  f1-score   support

         per     0.6988    0.7795    0.7370       381
         org     0.3898    0.4259    0.4071       108
        misc     0.0741    0.0741    0.0741        27
         loc     0.8585    0.8182    0.8378       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9985    0.9977    0.9981     43414

   micro avg     0.9924    0.9924    0.9924     44271
   macro avg     0.5033    0.5159    0.5090     44271
weighted avg     0.9928    0.9924    0.9926     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0.01, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7277    0.8346    0.7775       381
         org     0.3390    0.3704    0.3540       108
        misc     0.0625    0.0370    0.0465        27
         loc     0.8707    0.8094    0.8389       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9979    0.9983     43414

   micro avg     0.9930    0.9930    0.9930     44271
   macro avg     0.4997    0.5082    0.5025     44271
weighted avg     0.9932    0.9930    0.9930     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0.01, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7219    0.8583    0.7842       381
         org     0.4059    0.3796    0.3923       108
        misc     0.0909    0.0370    0.0526        27
         loc     0.8770    0.8152    0.8450       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9982    0.9984     43414

   micro avg     0.9934    0.9934    0.9934     44271
   macro avg     0.5157    0.5147    0.5121     44271
weighted avg     0.9934    0.9934    0.9934     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0.01, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7248    0.8504    0.7826       381
         org     0.4200    0.3889    0.4038       108
        misc     0.1429    0.0370    0.0588        27
         loc     0.8715    0.8152    0.8424       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9982    0.9984     43414

   micro avg     0.9935    0.9935    0.9935     44271
   macro avg     0.5263    0.5150    0.5144     44271
weighted avg     0.9933    0.9935    0.9934     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0.05, 'c2': 0}              precision    recall  f1-score   support

         per     0.7195    0.8215    0.7672       381
         org     0.3421    0.3611    0.3514       108
        misc     0.0526    0.0370    0.0435        27
         loc     0.8656    0.8123    0.8381       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9979    0.9983     43414

   micro avg     0.9928    0.9928    0.9928     44271
   macro avg     0.4964    0.5050    0.4997     44271
weighted avg     0.9930    0.9928    0.9929     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0.05, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7242    0.8478    0.7811       381
         org     0.3853    0.3889    0.3871       108
        misc     0.0833    0.0370    0.0513        27
         loc     0.8683    0.8123    0.8394       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9980    0.9984     43414

   micro avg     0.9932    0.9932    0.9932     44271
   macro avg     0.5100    0.5140    0.5095     44271
weighted avg     0.9933    0.9932    0.9932     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0.05, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7244    0.8556    0.7846       381
         org     0.4242    0.3889    0.4058       108
        misc     0.1111    0.0370    0.0556        27
         loc     0.8750    0.8211    0.8472       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9982    0.9984     43414

   micro avg     0.9935    0.9935    0.9935     44271
   macro avg     0.5222    0.5168    0.5153     44271
weighted avg     0.9934    0.9935    0.9934     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0.05, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7254    0.8530    0.7841       381
         org     0.4184    0.3796    0.3981       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.8696    0.8211    0.8446       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9983    0.9985     43414

   micro avg     0.9936    0.9936    0.9936     44271
   macro avg     0.5020    0.5087    0.5042     44271
weighted avg     0.9933    0.9936    0.9934     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0.1, 'c2': 0}              precision    recall  f1-score   support

         per     0.7251    0.8583    0.7861       381
         org     0.3800    0.3519    0.3654       108
        misc     0.0714    0.0370    0.0488        27
         loc     0.8688    0.8152    0.8411       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9980    0.9984     43414

   micro avg     0.9933    0.9933    0.9933     44271
   macro avg     0.5073    0.5101    0.5066     44271
weighted avg     0.9933    0.9933    0.9932     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0.1, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7295    0.8635    0.7909       381
         org     0.4118    0.3889    0.4000       108
        misc     0.0833    0.0370    0.0513        27
         loc     0.8754    0.8240    0.8489       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9988    0.9981    0.9985     43414

   micro avg     0.9936    0.9936    0.9936     44271
   macro avg     0.5165    0.5186    0.5149     44271
weighted avg     0.9935    0.9936    0.9935     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0.1, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7332    0.8583    0.7908       381
         org     0.4141    0.3796    0.3961       108
        misc     0.1111    0.0370    0.0556        27
         loc     0.8696    0.8211    0.8446       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9982    0.9984     43414

   micro avg     0.9936    0.9936    0.9936     44271
   macro avg     0.5211    0.5157    0.5143     44271
weighted avg     0.9934    0.9936    0.9934     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c1': 0.1, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7231    0.8635    0.7871       381
         org     0.4301    0.3704    0.3980       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.8723    0.8211    0.8459       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9987    0.9983    0.9985     43414

   micro avg     0.9936    0.9936    0.9936     44271
   macro avg     0.5040    0.5089    0.5049     44271
weighted avg     0.9933    0.9936    0.9934     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': False, 'c1': 0, 'c2': 0}              precision    recall  f1-score   support

         per     0.7082    0.7900    0.7469       381
         org     0.3333    0.3704    0.3509       108
        misc     0.0741    0.0741    0.0741        27
         loc     0.8567    0.8065    0.8308       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9984    0.9975    0.9979     43414

   micro avg     0.9922    0.9922    0.9922     44271
   macro avg     0.4951    0.5064    0.5001     44271
weighted avg     0.9926    0.9922    0.9924     44271


{'algo': 'lbfgs', 'min_freq': 0, 'all_state': False, 'all_transition': False, 'c1': 0, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7285    0.8241    0.7734       381
         org     0.3305    0.3611    0.3451       108
        misc     0.0556    0.0370    0.0444        27
         loc     0.8694    0.8006    0.8336       341
   deriv-per     0.0000    0.0000    0.0000         0
    notpropn     0.9986    0.9980    0.9983     43414

   micro avg     0.9929    0.9929    0.9929     44271
   macro avg     0.4971    0.5035    0.4991     44271
