{'algo': 'l2sgd', 'min_freq': 0, 'all_state': True, 'all_transition': True, 'c2': 0}              precision    recall  f1-score   support
   deriv-per     0.7500    0.5122    0.6087        41
    notpropn     0.9985    0.9983    0.9984     43414

    accuracy                         0.9936     44271
   macro avg     0.6352    0.5935    0.6047     44271
weighted avg     0.9930    0.9936    0.9932     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c2': 0}              precision    recall  f1-score   support

         per     0.0000    0.0000    0.0000       340
         org     0.0000    0.0000    0.0000       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.0000    0.0000    0.0000       341
   deriv-per     0.0000    0.0000    0.0000        41
    notpropn     0.9806    1.0000    0.9902     43414

    accuracy                         0.9806     44271
   macro avg     0.1634    0.1667    0.1650     44271
weighted avg     0.9617    0.9806    0.9711     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7447    0.8235    0.7821       340
         org     0.5439    0.2870    0.3758       108
        misc     0.1000    0.0370    0.0541        27
         loc     0.7694    0.9003    0.8297       341
   deriv-per     0.5455    0.5854    0.5647        41
    notpropn     0.9986    0.9980    0.9983     43414

    accuracy                         0.9932     44271
   macro avg     0.6170    0.6052    0.6008     44271
weighted avg     0.9928    0.9932    0.9929     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.6934    0.8912    0.7799       340
         org     0.5625    0.2500    0.3462       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.8805    0.8211    0.8498       341
   deriv-per     0.5952    0.6098    0.6024        41
    notpropn     0.9982    0.9983    0.9983     43414

    accuracy                         0.9933     44271
   macro avg     0.6216    0.5951    0.5961     44271
weighted avg     0.9930    0.9933    0.9929     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': False, 'all_transition': True, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7560    0.8382    0.7950       340
         org     0.3854    0.3426    0.3627       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.8286    0.8504    0.8394       341
   deriv-per     0.6111    0.5366    0.5714        41
    notpropn     0.9984    0.9983    0.9983     43414

    accuracy                         0.9933     44271
   macro avg     0.5966    0.5944    0.5945     44271
weighted avg     0.9928    0.9933    0.9930     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': False, 'all_transition': False, 'c2': 0}              precision    recall  f1-score   support

         per     0.0000    0.0000    0.0000       340
         org     0.0000    0.0000    0.0000       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.0000    0.0000    0.0000       341
   deriv-per     0.0000    0.0000    0.0000        41
    notpropn     0.9806    1.0000    0.9902     43414

    accuracy                         0.9806     44271
   macro avg     0.1634    0.1667    0.1650     44271
weighted avg     0.9617    0.9806    0.9711     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': False, 'all_transition': False, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.6550    0.9324    0.7694       340
         org     0.4714    0.3056    0.3708       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.8546    0.8446    0.8496       341
   deriv-per     0.7059    0.5854    0.6400        41
    notpropn     0.9993    0.9976    0.9984     43414

    accuracy                         0.9932     44271
   macro avg     0.6144    0.6109    0.6047     44271
weighted avg     0.9933    0.9932    0.9931     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': False, 'all_transition': False, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7541    0.8029    0.7778       340
         org     0.3486    0.3519    0.3502       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.8086    0.8798    0.8427       341
   deriv-per     0.6250    0.6098    0.6173        41
    notpropn     0.9988    0.9981    0.9984     43414

    accuracy                         0.9932     44271
   macro avg     0.5892    0.6071    0.5977     44271
weighted avg     0.9929    0.9932    0.9930     44271


{'algo': 'l2sgd', 'min_freq': 0, 'all_state': False, 'all_transition': False, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7987    0.7118    0.7527       340
         org     0.3187    0.4722    0.3806       108
        misc     0.0556    0.0370    0.0444        27
         loc     0.8230    0.8592    0.8407       341
   deriv-per     0.5532    0.6341    0.5909        41
    notpropn     0.9987    0.9981    0.9984     43414

    accuracy                         0.9926     44271
   macro avg     0.5913    0.6187    0.6013     44271
weighted avg     0.9932    0.9926    0.9928     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': True, 'all_transition': True, 'c2': 0}              precision    recall  f1-score   support

         per     0.0000    0.0000    0.0000       340
         org     0.0000    0.0000    0.0000       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.0000    0.0000    0.0000       341
   deriv-per     0.0000    0.0000    0.0000        41
    notpropn     0.9806    1.0000    0.9902     43414

    accuracy                         0.9806     44271
   macro avg     0.1634    0.1667    0.1650     44271
weighted avg     0.9617    0.9806    0.9711     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': True, 'all_transition': True, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.6474    0.9235    0.7612       340
         org     0.5000    0.3241    0.3933       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.8602    0.8299    0.8448       341
   deriv-per     0.6216    0.5610    0.5897        41
    notpropn     0.9992    0.9976    0.9984     43414

    accuracy                         0.9931     44271
   macro avg     0.6047    0.6060    0.5979     44271
weighted avg     0.9932    0.9931    0.9929     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': True, 'all_transition': True, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7047    0.8912    0.7870       340
         org     0.5091    0.2593    0.3436       108
        misc     0.0909    0.0370    0.0526        27
         loc     0.9010    0.8006    0.8478       341
   deriv-per     0.8333    0.3659    0.5085        41
    notpropn     0.9977    0.9986    0.9981     43414

    accuracy                         0.9933     44271
   macro avg     0.6728    0.5588    0.5896     44271
weighted avg     0.9928    0.9933    0.9927     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': True, 'all_transition': True, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7120    0.9088    0.7984       340
         org     0.5143    0.3333    0.4045       108
        misc     0.1429    0.0370    0.0588        27
         loc     0.8464    0.8563    0.8513       341
   deriv-per     0.7586    0.5366    0.6286        41
    notpropn     0.9988    0.9982    0.9985     43414

    accuracy                         0.9938     44271
   macro avg     0.6622    0.6117    0.6234     44271
weighted avg     0.9935    0.9938    0.9935     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': True, 'all_transition': False, 'c2': 0}              precision    recall  f1-score   support

         per     0.0000    0.0000    0.0000       340
         org     0.0000    0.0000    0.0000       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.0000    0.0000    0.0000       341
   deriv-per     0.0000    0.0000    0.0000        41
    notpropn     0.9806    1.0000    0.9902     43414

    accuracy                         0.9806     44271
   macro avg     0.1634    0.1667    0.1650     44271
weighted avg     0.9617    0.9806    0.9711     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': True, 'all_transition': False, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7146    0.8618    0.7813       340
         org     0.3504    0.3796    0.3644       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.9283    0.7595    0.8355       341
   deriv-per     0.6154    0.5854    0.6000        41
    notpropn     0.9981    0.9984    0.9983     43414

    accuracy                         0.9930     44271
   macro avg     0.6011    0.5974    0.5966     44271
weighted avg     0.9929    0.9930    0.9928     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': True, 'all_transition': False, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.6483    0.9324    0.7648       340
         org     0.4533    0.3148    0.3716       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.9211    0.7537    0.8290       341
   deriv-per     0.8077    0.5122    0.6269        41
    notpropn     0.9987    0.9983    0.9985     43414

    accuracy                         0.9932     44271
   macro avg     0.6382    0.5852    0.5985     44271
weighted avg     0.9933    0.9932    0.9929     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': True, 'all_transition': False, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.6966    0.9118    0.7898       340
         org     0.5424    0.2963    0.3832       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.8805    0.8211    0.8498       341
   deriv-per     0.7500    0.5122    0.6087        41
    notpropn     0.9983    0.9983    0.9983     43414

    accuracy                         0.9935     44271
   macro avg     0.6446    0.5899    0.6050     44271
weighted avg     0.9931    0.9935    0.9931     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': False, 'all_transition': True, 'c2': 0}              precision    recall  f1-score   support

         per     0.0000    0.0000    0.0000       340
         org     0.0000    0.0000    0.0000       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.0000    0.0000    0.0000       341
   deriv-per     0.0000    0.0000    0.0000        41
    notpropn     0.9806    1.0000    0.9902     43414

    accuracy                         0.9806     44271
   macro avg     0.1634    0.1667    0.1650     44271
weighted avg     0.9617    0.9806    0.9711     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': False, 'all_transition': True, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.7458    0.7765    0.7608       340
         org     0.3017    0.6481    0.4118       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.9572    0.7214    0.8227       341
   deriv-per     0.6857    0.5854    0.6316        41
    notpropn     0.9986    0.9981    0.9984     43414

    accuracy                         0.9924     44271
   macro avg     0.6148    0.6216    0.6042     44271
weighted avg     0.9938    0.9924    0.9928     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': False, 'all_transition': True, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7423    0.8471    0.7912       340
         org     0.5472    0.2685    0.3602       108
        misc     0.1176    0.0741    0.0909        27
         loc     0.7555    0.9062    0.8240       341
   deriv-per     0.6875    0.5366    0.6027        41
    notpropn     0.9990    0.9980    0.9985     43414

    accuracy                         0.9934     44271
   macro avg     0.6415    0.6051    0.6113     44271
weighted avg     0.9932    0.9934    0.9931     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': False, 'all_transition': True, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7248    0.8676    0.7898       340
         org     0.5588    0.1759    0.2676       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.7831    0.8680    0.8234       341
   deriv-per     0.7500    0.2195    0.3396        41
    notpropn     0.9981    0.9985    0.9983     43414

    accuracy                         0.9932     44271
   macro avg     0.6358    0.5216    0.5365     44271
weighted avg     0.9924    0.9932    0.9923     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': False, 'all_transition': False, 'c2': 0}              precision    recall  f1-score   support

         per     0.0000    0.0000    0.0000       340
         org     0.0000    0.0000    0.0000       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.0000    0.0000    0.0000       341
   deriv-per     0.0000    0.0000    0.0000        41
    notpropn     0.9806    1.0000    0.9902     43414

    accuracy                         0.9806     44271
   macro avg     0.1634    0.1667    0.1650     44271
weighted avg     0.9617    0.9806    0.9711     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': False, 'all_transition': False, 'c2': 0.01}              precision    recall  f1-score   support

         per     0.6878    0.9265    0.7895       340
         org     0.4362    0.3796    0.4059       108
        misc     0.1250    0.0370    0.0571        27
         loc     0.8882    0.8152    0.8502       341
   deriv-per     0.7027    0.6341    0.6667        41
    notpropn     0.9991    0.9979    0.9985     43414

    accuracy                         0.9935     44271
   macro avg     0.6398    0.6317    0.6280     44271
weighted avg     0.9937    0.9935    0.9934     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': False, 'all_transition': False, 'c2': 0.05}              precision    recall  f1-score   support

         per     0.7051    0.9000    0.7907       340
         org     0.4487    0.3241    0.3763       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.8777    0.8211    0.8485       341
   deriv-per     0.8400    0.5122    0.6364        41
    notpropn     0.9984    0.9983    0.9984     43414

    accuracy                         0.9935     44271
   macro avg     0.6450    0.5926    0.6084     44271
weighted avg     0.9931    0.9935    0.9932     44271


{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': False, 'all_transition': False, 'c2': 0.1}              precision    recall  f1-score   support

         per     0.7359    0.8441    0.7863       340
         org     0.3146    0.6204    0.4174       108
        misc     0.0000    0.0000    0.0000        27
         loc     0.9449    0.7537    0.8385       341
   deriv-per     0.6190    0.6341    0.6265        41
    notpropn     0.9991    0.9977    0.9984     43414

    accuracy                         0.9927     44271
   macro avg     0.6022    0.6417    0.6112     44271
weighted avg     0.9940    0.9927    0.9932     44271




 = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
Best:0.9934899743912048
{'algo': 'l2sgd', 'min_freq': 0.02, 'all_state': True, 'all_transition': True, 'c2': 0.1}
              precision    recall  f1-score   support

         per     0.7120    0.9088    0.7984       340
         org     0.5143    0.3333    0.4045       108
        misc     0.1429    0.0370    0.0588        27
         loc     0.8464    0.8563    0.8513       341
   deriv-per     0.7586    0.5366    0.6286        41
    notpropn     0.9988    0.9982    0.9985     43414

    accuracy                         0.9938     44271
   macro avg     0.6622    0.6117    0.6234     44271
weighted avg     0.9935    0.9938    0.9935     44271
